template_name,template_string
qasc - None - qa_with_separated_facts_3,"Fact 1: {e1}{e2}.

Fact 2: {e3}{e4}.

Given the two facts above, {e5}{e6}?

||| 

{e7} {e8}{e9}{e10}{e11}  "
qasc - None - qa_with_separated_facts_4,"You are presented with the question ""{e1}"" and the following answer choices: 
- {e2}

Now knowing that {e3}{e4} and {e5}{e6}, choose the best answer.

||| 

{e7} {e8}{e9}{e10}{e11} "
qasc - None - qa_with_separated_facts_5,"You are presented with the quiz ""{e1}"" 

But you don't know the answer, so you turn to your teacher to ask for hints. He says that ""{e2}{e3}"" and ""{e4}{e5}"". 

So, what's the best answer to the question?

||| 

{e6} {e7}{e8}{e9}{e10}   "
quail - None - context_description_question_answer_id,"{e1}
According to the above context, choose the correct option to answer the following question.
Question: {e2}
Options:
{e3}
{e4}
{e5}
|||
{e6}"
quail - None - context_description_question_answer_text,"{e1}
According to the above context, choose the correct option to answer the following question.
Question: {e2}
Options:
- {e3}
|||
{e4}"
quail - None - context_description_question_text,"{e1}
According to the above context, answer the following question.
{e2}
|||
{e3}"
quail - None - context_question_answer_description_id,"{e1}
Question: {e2}
Options:
{e3}
{e4}
{e5}
===
The correct answer is
|||
{e6}"
quail - None - context_question_answer_description_text,"{e1}
Question: {e2}
Options:
- {e3}
===
The correct answer is
|||
{e4}"
quail - None - context_question_description_answer_id,"{e1}
{e2}
Pick the correct answer from the following options:
{e3}
{e4}
{e5}
|||
{e6}"
quail - None - context_question_description_answer_text,"{e1}
{e2}
Pick the correct answer from the following options:
- {e3}
|||
{e4}"
quail - None - context_question_description_text,"{e1}
Question: {e2}
===
The answer to the above question is
|||
{e3}"
quail - None - description_context_question_answer_id,"Read the following context and choose the correct option to answer the question.
Context: {e1}
Question: {e2}
Options:
{e3}
{e4}
{e5}
|||
{e6}"
quail - None - description_context_question_answer_text,"Read the following context and choose the correct option to answer the question.
Context: {e1}
Question: {e2}
Options:
- {e3}
|||
{e4}"
quail - None - description_context_question_text,"Read the following context and answer the question.
Context: {e1}
Question: {e2}
Answer:
|||
{e3}"
quail - None - no_prompt_id,"{e1}
{e2}
{e3}
{e4}
{e5}
|||
{e6}"
quail - None - no_prompt_text,"{e1}
{e2}
- {e3}
|||
{e4}"
quarel - None - choose_between,"Choose between ""{e1}"" and  ""{e2}"".
Question: {e3}
|||
{e4}"
quarel - None - do_not_use,"Question: {e1}

Do not use {e2} and {e3} to answer the question but instead, choose between ""{e4}"" and  ""{e5}"".
|||
{e6}"
quarel - None - heres_a_story,"Here's a short story: {e1}.

What is the most sensical answer between ""{e2}"" and  ""{e3}""?
|||
{e4}"
quarel - None - logic_test,"Here's a logic test: {e1}

Choose the answer between ""{e2}"" and ""{e3}"".
|||
{e4}"
quarel - None - testing_students,"I am testing my students' logic.
What is the answer they should choose between ""{e1}"" and ""{e2}""?
Logic test: {e3}
|||
{e4}"
quartz - None - answer_question_based_on,"Answer the question based on the following text.

Question:

{e1}
{e2}{e3} 
{e4}
{e5} {e6}{e7} 
{e8}

Text:

{e9}|||
{e10}"
quartz - None - answer_question_below,"Answer the question below:

{e1}
{e2}{e3} 
{e4}
{e5} {e6}{e7} 
{e8}

Assuming that:

{e9}|||
{e10}"
quartz - None - given_the_fact_answer_the_q,"Given the fact that:

{e1}

Answer the question:

{e2}
{e3}{e4} 
{e5}
{e6} {e7}{e8} 
{e9}
|||
{e10}"
quartz - None - having_read_above_passage,"{e1}

Having read the above passage, choose the right answer to the following question (choices are {e2} ):

{e3}
{e4}{e5} 
{e6}
{e7} {e8}{e9} 
{e10}
|||
{e11}"
quartz - None - paragraph_question_plain_concat,"{e1}
{e2}
{e3}{e4} 
{e5}
{e6} {e7}{e8} 
{e9}
|||
{e10}"
quartz - None - read_passage_below_choose,"Read the passage below and choose the right answer to the following question (choices are {e1} ):

{e2}

{e3}
{e4}{e5} 
{e6}
{e7} {e8}{e9} 
{e10}
|||
{e11}"
quartz - None - use_info_from_paragraph_question,"Use information from the paragraph to answer the question.

Paragraph :

{e1}

Question:

{e2}
{e3}{e4} 
{e5}
{e6} {e7}{e8} 
{e9}
|||
{e10}"
quartz - None - use_info_from_question_paragraph,"Use information from the paragraph to answer the question.

Question:

{e1}
{e2}{e3} 
{e4}
{e5} {e6}{e7} 
{e8}

Paragraph :

{e9}
|||
{e10}"
race - high - Is this the right answer,"{e1}
Article: {e2}
Question: {e3}
Yes or no, is the answer ""{e4}[answer]] }}""?
|||
{e5}
Yes
{e6}
No
{e7}"
race - high - Read the article and answer the question (no option),"Read the following article and answer the question.
Article: {e1}
Question: {e2}
Answer:
|||
{e3}[answer]] }}"
race - high - Select the best answer,"Read the article and select the best answer.
Article: {e1}
Question: {e2}
Options: {e3}: {e4}
{e5}: {e6}
{e7}: {e8}
{e9}: {e10}
|||
{e11}"
race - high - Select the best answer (generate span),"Read the following article and select the best answer.
Article: {e1}
Question: {e2}
- {e3}
|||
{e4}[answer]]}}"
race - high - Select the best answer (no instructions),"{e1}
{e2}
{e3} {e4}
{e5} {e6}
{e7} {e8}
{e9} {e10}
|||
{e11}"
race - high - Taking a test,"I'm taking a test and have to guess the right answer to the question after the article.
Article: {e1}
Question: {e2}
Options: {e3}: {e4}
{e5}: {e6}
{e7}: {e8}
{e9}: {e10}
|||
{e11}"
race - high - Write a multi-choice question (options given),"Write a multi-choice question for the following article, with the given choices and answer:
Article: {e1}
Options:
{e2} {e3}
{e4} {e5}
{e6} {e7}
{e8} {e9}
Answer:
{e10} {e11}[answer]] }}
Question: 
|||
{e12}"
race - high - Write a multi-choice question for the following article,"Write a multi-choice question for the following article:
Article: {e1}
|||
Question: 
{e2}
Options:
{e3} {e4}
{e5} {e6}
{e7} {e8}
{e9} {e10}
Answer:
{e11}"
race - middle - Is this the right answer,"{e1}
Article: {e2}
Question: {e3}
Yes or no, is the answer ""{e4}[answer]] }}""?
|||
{e5}
Yes
{e6}
No
{e7}"
race - middle - Read the article and answer the question (no option),"Read the following article and answer the question.
Article: {e1}
Question: {e2}
Answer:
|||
{e3}[answer]] }}"
race - middle - Select the best answer,"Read the article and select the best answer.
Article: {e1}
Question: {e2}
Options: {e3}: {e4}
{e5}: {e6}
{e7}: {e8}
{e9}: {e10}
|||
{e11}"
race - middle - Select the best answer (generate span),"Read the following article and select the best answer.
Article: {e1}
Question: {e2}
- {e3}
|||
{e4}[answer]]}}"
race - middle - Select the best answer (no instructions),"{e1}
{e2}
{e3} {e4}
{e5} {e6}
{e7} {e8}
{e9} {e10}
|||
{e11}"
race - middle - Taking a test,"I'm taking a test and have to guess the right answer to the question after the article.
Article: {e1}
Question: {e2}
Options: {e3}: {e4}
{e5}: {e6}
{e7}: {e8}
{e9}: {e10}
|||
{e11}"
race - middle - Write a multi-choice question (options given),"Write a multi-choice question for the following article, with the given choices and answer:
Article: {e1}
Options:
{e2} {e3}
{e4} {e5}
{e6} {e7}
{e8} {e9}
Answer:
{e10} {e11}[answer]] }}
Question: 
|||
{e12}"
race - middle - Write a multi-choice question for the following article,"Write a multi-choice question for the following article:
Article: {e1}
|||
Question: 
{e2}
Options:
{e3} {e4}
{e5} {e6}
{e7} {e8}
{e9} {e10}
Answer:
{e11}"
sciq - None - Direct Question,"Answer the following question given this paragraph: 

{e1}


Q: {e2}


A:|||{e3}
"
sciq - None - Direct Question (Closed Book),"Q: {e1}


A:|||{e2}
"
sciq - None - Multiple Choice,"{e1}
Answer the following question given this paragraph: 

{e2}


Q: {e3}

 Choices:

- {e4}

- {e5}

- {e6}

- {e7}

A:|||{e8}

"
sciq - None - Multiple Choice (Closed Book),"{e1}
Q: {e2}


 Choices:

- {e3}

- {e4}

- {e5}

- {e6}

A:|||{e7}"
sciq - None - Multiple Choice Question First,"{e1}
Q: {e2}


Read this paragraph and choose the correct option from the provided answers:

{e3}

 Choices:

- {e4}

- {e5}

- {e6}

- {e7}


A:|||{e8}
"
social_i_qa - None - Check if a random answer is valid or not,"{e1}
{e2}
{e3}

Given the question ""{e4}"", is ""{e5}"" a valid answer?

|||

{e6}
    Yes
{e7}
    No
{e8}"
social_i_qa - None - Generate answer,"{e1}

Given the context: {e2}

|||

{e3}"
social_i_qa - None - Generate the question from the answer,"{e1}

Given that the answer to a question is ""{e2}[label]}}"", what is the question?

|||

{e3}"
social_i_qa - None - I was wondering,"I heard that {e1}

And I was wondering {e2}

|||

{e3}"
social_i_qa - None - Show choices and generate answer,"{e1}

Given the context: {e2}

Possible answers: {e3}

|||

{e4}"
social_i_qa - None - Show choices and generate index,"Context: {e1}

Question: {e2}

Which one of these answers best answers the question according to the context?

A: {e3}

B: {e4}

C: {e5}

|||

{e6}[label]}}"
super_glue - boolq - GPT-3 Style,"{e1} 
Question: {e2}
Answer: ||| 
{e3}
{e4}
{e5}"
super_glue - boolq - I wonder…,"{e1} 

Having read that, I wonder {e2}? |||
{e3}
{e4} 
{e5}"
super_glue - boolq - after_reading,"Passage: {e1}

After reading this passage, I have a question: {e2}? True or False? |||
{e3}
{e4}
{e5}"
super_glue - boolq - based on the following passage,"Based on the following passage, {e1}? {e2}

|||
{e3}
{e4}
{e5}"
super_glue - boolq - based on the previous passage,"{e1}
Based on the previous passage, {e2}? ||| {e3}{e4}
{e5}"
super_glue - boolq - could you tell me…,"{e1} 

Having read that, could you tell me {e2}? ||| {e3}{e4}
{e5}"
super_glue - boolq - exam,"EXAM
1. Answer by yes or no.

Document: {e1}
Question: {e2}? ||| 
{e3}
{e4}
{e5}"
super_glue - boolq - exercise,"Exercise: read the text and answer the question by True or False.

Text: {e1}
Question: {e2}? |||
{e3}
{e4}
{e5}"
super_glue - boolq - valid_binary,"{e1}

Q: {e2}? True or False? |||
{e3}
{e4}
{e5}"
super_glue - boolq - yes_no_question,"Text: {e1}

Answer the following yes/no question: {e2}? Yes or no? |||
{e3}
{e4}
{e5}"
"super_glue - copa - C1 or C2? premise, so/because…","""{e1}"" or ""{e2}""? {e3} {e4} because {e5} so {e6} ||| {e7}{e8}{e9}"
super_glue - copa - best_option,"{e1} 

What's the best option?
- {e2}
- {e3}

We are looking for {e4} a cause {e5} an effect {e6}
||| {e7}{e8}{e9}"
super_glue - copa - cause_effect,"{e1}

Select the most plausible {e2} cause: {e3} effect: {e4}
- {e5}
- {e6} ||| {e7}{e8}{e9}"
super_glue - copa - choose,"{e1} {e2} because... {e3} so... {e4}
Choose between:
- {e5}
- {e6} ||| {e7}{e8}{e9}"
super_glue - copa - exercise,"Exercise: choose the most plausible alternative.

{e1} {e2} because... {e3} so... {e4}
- {e5}
- {e6} ||| {e7}{e8}{e9}"
super_glue - copa - i_am_hesitating,"{e1} 

I am hesitating between two options. Help me choose the more likely {e2} cause: {e3} effect: {e4}
- {e5}
- {e6} ||| {e7}{e8}{e9}"
super_glue - copa - more likely,"Pick the more likely continuation to the following sentence:
{e1} {e2} as a result of: {e3} as a consequence: {e4}
- {e5}
- {e6} ||| {e7}{e8}{e9}"
super_glue - copa - plausible_alternatives,"{e1} {e2} This happened because... {e3} As a consequence... {e4}
Help me pick the more plausible option:
- {e5}
- {e6} ||| {e7}{e8}{e9}"
"super_glue - copa - …As a result, C1 or C2?","{e1} 
{e2} As a result, ""{e3}"" or ""{e4}""? ||| {e5}{e6}{e7}
{e8}"
"super_glue - copa - …What could happen next, C1 or C2?","{e1} 
{e2} What could happen next, ""{e3}"" or ""{e4}""? ||| {e5}{e6}{e7}
{e8}"
super_glue - copa - …which may be caused by,"{e1} 
{e2} Which may be caused by ""{e3}"" or ""{e4}""? ||| {e5}{e6}{e7}
{e8}"
super_glue - copa - …why? C1 or C2,"{e1} 
{e2} Why? ""{e3}"" or ""{e4}""? ||| {e5}{e6}{e7}
{e8}"
super_glue - multirc - I was going to say…,"{e1}
{e2} 
I was going to say ""{e3}"". Does that sound right? ||| {e4}{e5}{e6}"
super_glue - multirc - Would it be good to answer…,"{e1}
{e2} 
Would it be good to answer ""{e3}""? ||| {e4}{e5}{e6}"
super_glue - multirc - confirm,"{e1}

Question: {e2}
I think ""{e3}"" is a valid answer. Could you confirm? Yes or no?
|||
{e4}{e5}{e6}"
super_glue - multirc - correct,"Is ""{e1}"" a correct answer to the following question?
Question: {e2}

Rely on the following text: {e3}
|||
{e4}{e5}{e6}"
super_glue - multirc - decide_valid,"{e1}

Decide whether ""{e2}"" is a valid answer to the following question: {e3}
Answer yes or no.
|||
{e4}{e5}{e6}"
super_glue - multirc - found_this_answer,"{e1}

Question: {e2}
I found this answer ""{e3}"". Is that correct? Yes or no?
|||
{e4}{e5}{e6}"
super_glue - multirc - grading,"{e1}
Question: {e2}

I am grading my students' exercises. Is the answer ""{e3}"" correct?
|||
{e4}{e5}{e6}"
super_glue - multirc - is the correct answer…,"{e1}
Question: {e2} 
Is the correct answer {e3}? ||| {e4}{e5}{e6}"
super_glue - multirc - is… a correct answer?,"{e1}
Based on the previous passage, {e2} 
Is ""{e3}"" a correct answer? ||| {e4}{e5}{e6}"
super_glue - multirc - paragraph… question… is it… ?,"{e1}
Question: {e2} 
Is it {e3}? ||| {e4}{e5}{e6}"
wiki_hop - original - choose_best_object_affirmative_1,"Information:
{e1}
- {e2}
{e3}

{e4}
Given the information above, choose from the list below the object entity that exhibits the relation '{e5}' with the subject '{e6}'.

Choices:
- {e7}

|||
{e8}"
wiki_hop - original - choose_best_object_affirmative_2,"Information:
{e1}
- {e2}
{e3}

{e4}
After reading the paragraphs above, choose the best answer for the entity that related to '{e5}' with the relationship of '{e6}'.

Choices:
- {e7}

|||
{e8}"
wiki_hop - original - choose_best_object_affirmative_3,"Information:
{e1}
- {e2}
{e3}

{e4}
After reading the paragraphs above, we are interested in knowing the entity with which '{e5}' exhibits the relationship of '{e6}'. Find the answer from the choices below.

Choices:
- {e7}

|||
{e8}"
wiki_hop - original - choose_best_object_interrogative_1,"Information:
{e1}
- {e2}
{e3}

{e4}
What object entity has the relation of '{e5}' with the subject '{e6}'? 

Choices:
- {e7}

|||
{e8}"
wiki_hop - original - choose_best_object_interrogative_2,"Information:
{e1}
- {e2}
{e3}

{e4}
'{e5}' is related to which object entity through the relation of '{e6}'?

Choices:
- {e7}

|||
{e8}"
wiki_hop - original - explain_relation,"Information:
{e1}
- {e2}
{e3}

{e4}
What is the relationship between '{e5}' and '{e6}'?

|||
{e7}"
wiki_hop - original - generate_object,"Information:
{e1}
- {e2}
{e3}

{e4}
What entity does '{e5}' has the relation '{e6}' with?

|||
{e7}"
wiki_hop - original - generate_subject,"Information:
{e1}
- {e2}
{e3}

{e4}
Given the paragraphs above, decide what entity has the relation '{e5}' with '{e6}'.

|||
{e7}"
wiki_hop - original - generate_subject_and_object,"Information:
{e1}
- {e2}
{e3}

{e4}
Given the information, choose the subject and object entities that have the relation of '{e5}'.

|||
{e6} , {e7}"
wiqa - None - does_the_supposed_perturbation_have_an_effect,"Process:

- {e1}

Perturbation hypothesis:
{e2}

Does the supposed perturbation have an effect (direct or indirect) on the process?

|||

{e3}[metadata_question_type]}}"
wiqa - None - effect_with_label_answer,"Process:
- {e1}

Question:
{e2}

- {e3}
- {e4}
- {e5}

|||

{e6}"
wiqa - None - effect_with_string_answer,"Process:
- {e1}

Question:
{e2}

How does the supposed perturbation influence the second effect mentioned. Answer by {e3}

|||

{e4}"
wiqa - None - what_is_the_final_step_of_the_following_process," {e1}
What is the final step of the following process:
-  {e2}

|||

{e3}
"
wiqa - None - what_is_the_missing_first_step,"What is the missing first step of the following process:

-  {e1}

|||

{e2}"
wiqa - None - what_might_be_the_first_step_of_the_process,"-  {e1}

What might be the first step of the process?

|||

{e2}
"
wiqa - None - what_might_be_the_last_step_of_the_process,"
{e1}
-  {e2}

What might be the last step of the process?

|||

{e3}
"
wiqa - None - which_of_the_following_is_the_supposed_perturbation,"Process:

- {e1}

{e2}

Which of the following is the supposed perturbation?

- {e3}
- {e4}
- {e5}


|||

{e6}[metadata_question_type]}}"
piqa - None - Correct the solution,"Given a goal and a wrong solution, rewrite it to give a correct solution.
Goal: {e1} 
Solution: {e2}
Corrected solution:
|||
{e3}
"
piqa - None - Correct the solution if false: from sol 1,"Sentence: {e1} {e2}
If the sentence does not make sense, correct it so that it does make sense. Otherwise, just copy it.
Answer:
|||
{e3} {e4}
"
piqa - None - Correct the solution if false: from sol 2,"Given a sentence, correct it if it doesn't make sense. If it makes sense, just return it as the answer.
Input: {e1} {e2}
Output:
|||
{e3} {e4}
"
piqa - None - Does this solution make sense? sol1,"Does this phrase make sense?
{e1} {e2}
Answer with {e3} or {e4}
|||
{e5}"
piqa - None - Does this solution make sense? sol2,"{e1} {e2}
Does this phrase make sense?
|||
{e3}"
piqa - None - choose the most appropriate solution,"Given a goal and 2 solutions, choose the most appropriate solution.
Goal: {e1}
- {e2}: {e3}
- {e4}: {e5}

Answer by returning either {e6} or {e7}
|||
{e8}"
piqa - None - finish_sentence_with_correct_choice,"Finish the following sentence with the best choice: {e1}

Choices:
- {e2}
- {e3}

Answer:

|||
{e4}"
piqa - None - no prompt needed,"{e1}
|||
{e2}"
piqa - None - pick_correct_choice_index,"Sentence: {e1}

Choice {e2}: {e3}

Choice {e4}: {e5}

What is the index of the correct choice for ending for the sentence?

Answer:

|||
{e6}"
piqa - None - pick_correct_choice_with_choice_given_before_goal,"{e1}: {e2}
{e3}: {e4}

Goal: {e5}

Given the goal, what is the correct solution?

Answer by copying the correct solution
|||
{e6}"
piqa - None - what_is_the_correct_ending,"Goal: {e1}

Which is the correct ending?
- {e2}
- {e3}

Answer:
|||
{e4}"
amazon_polarity - None - Is_this_product_review_positive,"Is this product review positive?
Title: {e1}
Review: {e2}
Answer: |||
{e3}"
amazon_polarity - None - Is_this_review,"Title: {e1}
Review: {e2}
Is the review positive or negative? |||
{e3}"
amazon_polarity - None - Is_this_review_negative,"Title: {e1}
Review: {e2}
Is this product review negative?|||
{e3}"
amazon_polarity - None - User_recommend_this_product,"Based on this review, would the user recommend this product?
===
Review: {e1}
Answer: |||
{e2}"
amazon_polarity - None - convey_negative_or_positive_sentiment,"Title: {e1}
Review: {e2}
Does this product review convey a negative or positive sentiment?|||
{e3}"
amazon_polarity - None - flattering_or_not,"Title: {e1}
Product review: {e2}
Would you say this review depicts the product in a {e3} or {e4} light?
|||
{e5} "
amazon_polarity - None - negative_or_positive_tone,"Is there a negative or positive tone to this product review?
===
Title: {e1}
Review: {e2}
Answer: |||
{e3}"
amazon_polarity - None - user_satisfied,"Here is a review left by a customer on a product. Would you say he was {e1} or {e2}?
Title: {e3}
Review: {e4}
|||
{e5} "
amazon_polarity - None - would_you_buy,"You are considering whether to buy a product. You look at the reviews. Would the following review {e1} or {e2} the chances of you buying the product?
Review title: {e3}
Product review: {e4}
|||
{e5} "
app_reviews - None - categorize_rating_using_review,"Given this review: ""{e1}""
Would you recommend this app to a friend? {e2}, {e3}, {e4}, {e5}, or {e6}?
|||
{e7}"
app_reviews - None - convert_to_rating,"On a scale of 1-5 (with 1 being least favorable and 5 being most favorable), how would you rate this review? ""{e1}""
|||
{e2}"
app_reviews - None - convert_to_star_rating,"What would be the ★-rating of this review (★ being the lowest and ★★★★★ being the highest)? ""{e1}""
|||
{e2}"
app_reviews - None - generate_review,"Generate a {e1}-star review (1 being lowest and 5 being highest) about an app with package {e2}.
|||
{e3}"
imdb - None - Movie Expressed Sentiment,{e1} The sentiment expressed for the movie is ||| {e2}
imdb - None - Movie Expressed Sentiment 2,The following movie review expresses what sentiment? {e1} ||| {e2}
imdb - None - Negation template for positive and negative,{e1} This is definitely not a ||| {e2} review.
imdb - None - Reviewer Enjoyment,{e1} How does the reviewer feel about the movie? ||| {e2}
imdb - None - Reviewer Enjoyment Yes No,{e1} Did the reviewer enjoy the movie? ||| {e2}
imdb - None - Reviewer Expressed Sentiment,{e1} What is the sentiment expressed by the reviewer for the movie? ||| {e2}
imdb - None - Reviewer Opinion bad good choices,{e1} Did the reviewer find this movie {e2}? ||| {e3}
imdb - None - Reviewer Sentiment Feeling,{e1} How does the viewer feel about the movie? ||| {e2}
imdb - None - Sentiment with choices ,"{e1} 
Is this review {e2}? ||| 
{e3}"
imdb - None - Text Expressed Sentiment,{e1} What is the sentiment expressed in this text? ||| {e2}
imdb - None - Writer Expressed Sentiment,{e1} What sentiment does the writer express for the movie? ||| {e2}
rotten_tomatoes - None - Movie Expressed Sentiment,{e1} The sentiment expressed for the movie is ||| {e2}
rotten_tomatoes - None - Movie Expressed Sentiment 2,The following movie review expresses what sentiment? {e1} ||| {e2}
rotten_tomatoes - None - Reviewer Enjoyment,{e1} How does the reviewer feel about the movie? ||| {e2}
rotten_tomatoes - None - Reviewer Enjoyment Yes No,{e1} Did the reviewer enjoy the movie? ||| {e2}
rotten_tomatoes - None - Reviewer Expressed Sentiment,{e1} What is the sentiment expressed by the reviewer for the movie? ||| {e2}
rotten_tomatoes - None - Reviewer Opinion bad good choices,{e1} Did the reviewer find this movie {e2}? ||| {e3}
rotten_tomatoes - None - Reviewer Sentiment Feeling,{e1} How does the viewer feel about the movie? ||| {e2}
rotten_tomatoes - None - Sentiment with choices ,"{e1} 
Is this review {e2}? ||| 
{e3}"
rotten_tomatoes - None - Text Expressed Sentiment,{e1} What is the sentiment expressed in this text? ||| {e2}
rotten_tomatoes - None - Writer Expressed Sentiment,{e1} What sentiment does the writer express for the movie? ||| {e2}
yelp_review_full - None - based_on_that,"{e1}
===
Based on that, my rating is ||| {e2}"
yelp_review_full - None - format_rating,"Review text:
{e1}

Review rating: |||
{e2}"
yelp_review_full - None - format_score,"Review text:
{e1}

Review score (between 1 and 5): |||
{e2}"
yelp_review_full - None - format_star,"Review text:
{e1}

Stars: |||
{e2}"
yelp_review_full - None - on_a_scale,"Review: {e1}
On a scale of 1 to 5, I would give this product ||| {e2}"
yelp_review_full - None - so_i_would,"{e1}
So I would like to give it ||| {e2}"
yelp_review_full - None - this_place,{e1} My rating for this place is ||| {e2}
hellaswag - None - Appropriate continuation - Yes or No,"{e1}
Consider the following description: {e2}
Is the following an appropriate continuation?
{e3} {e4}
Yes or No?
||| 
{e5}
{e6}
{e7} 
{e8}
{e9}"
hellaswag - None - Open-ended completion,"Complete the sentence: {e1}
|||
{e2}"
hellaswag - None - Open-ended start,"How would you start the sentence:
{e1}
|||
{e2}"
hellaswag - None - Predict ending with hint,"How does this sentence end?
{e1}

(a)  {e2}

(b)  {e3}

(c)  {e4}

(d)  {e5}

Hint: the topic of the sentence is {e6}
|||
{e7}"
hellaswag - None - Randomized prompts template,"{e1}
{e2}
{e3}

(a)  {e4}

(b)  {e5}

(c)  {e6}

(d)  {e7}
|||
{e8}"
hellaswag - None - Reversed appropriate continuation - Yes or No,"{e1}
Consider the following text: {e2} {e3}
Is it an appropriate continuation of the following text: 
{e4} ?
Yes or No?
||| 
{e5}
{e6}
{e7} 
{e8}
{e9}"
hellaswag - None - Topic of the context,"{e1} {e2}
Can you identify the topic of the paragraph? 
|||
{e3}"
hellaswag - None - Topic without the ending answer,"What is the topic of the sentence: {e1} 
|||
{e2} "
hellaswag - None - complete_first_then,"Complete the description with an appropriate ending:
First, {e1} Then, {e2} ...

(a) {e3}

(b) {e4}

(c) {e5}

(d) {e6}
|||
{e7}"
hellaswag - None - how_ends,"{e1}...
How does the description likely end?

Ending 1: {e2}

Ending 2: {e3}

Ending 3: {e4}

Ending 4: {e5}
||| {e6}"
hellaswag - None - if_begins_how_continues,"If a description of a situation begins like this: {e1}... Then how
does it continue? 

Ending 1: {e2}

Ending 2: {e3}

Ending 3: {e4}

Ending 4: {e5}
|||{e6}"
common_gen - None - Example prompt,"Humans can easily string together abstract concepts to form a coherent sentence. 
For example, with the concepts {e1}, a simple sentence can be  
|||
{e2}"
common_gen - None - Given concepts - type 2,"Ignoring the order of the concepts: {e1}; 
Generate a sentence with all the concepts :
|||
{e2}"
common_gen - None - Given concepts type 1,"Given the list of concepts: {e1}; 
Generate a sentence with all the concepts :
|||
{e2}"
common_gen - None - Put together,"Put the concepts together to form a sentence: {e1}.
|||
{e2}"
common_gen - None - choice in concept centric sentence generation,"Construct a sentence with the word {e1}. 

Hint: Use {e2} to restrict the output sentence.
|||
{e3}"
common_gen - None - random task template prompt,"{e1} 
{e2}
{e3}
|||
{e4}"
common_gen - None - sentence to concepts,"We have the sentence: {e1}; 
Extract all the key concepts: 
|||
{e2}"
common_gen - None - topic to sentence,"Can you write a sentence about the topic {e1}?
|||
{e2}"
common_gen - None - topics from the sentence,"What are the topics in the sentence: {e1}
|||
{e2}"
wiki_bio - None - comprehension,"Read the bio below and try to give details on {e1}'s: 
{e2} {e3}
- {e4} 
{e5} {e6}

Bio: {e7} |||
{e8}
{e9}
- {e10} is {e11}
{e12}
{e13}
"
wiki_bio - None - guess_person,"{e1}
{e2}
- {e3} is {e4}
{e5}
{e6}

Given the details above, guess who could this information be about. |||
{e7}
"
wiki_bio - None - key_content,"What key details about {e1} can be extracted from the following bio?

Bio: {e2} |||
{e3}
{e4}
- {e5} is {e6}
{e7}
{e8}"
wiki_bio - None - what_content,"What type of details about {e1} can be gathered from the following bio?

Bio: {e2} |||
{e3}
{e4}
- {e5} 
{e6}
{e7}"
wiki_bio - None - who,"Facts:
{e1}
{e2}
- {e3}: {e4}
{e5}
{e6}
Based on these bullet points, write a short biography describing the life of {e7}. |||
{e8}"
cnn_dailymail - 3.0.0 - 2_or_3_sentences,"In 2 or 3 sentences, what are the main points one should remember from this news article?

Article: {e1} |||
{e2}"
cnn_dailymail - 3.0.0 - generate_story,"Generate a story from key plot points:

{e1} |||
{e2}"
cnn_dailymail - 3.0.0 - news_card_view,"Condense the article down to the essentials to present it in the form of short cards in mobile news apps:

{e1} |||
{e2}"
cnn_dailymail - 3.0.0 - news_stock,"Extract key points from the article based on which the stock market could react:

{e1} |||
{e2}"
cnn_dailymail - 3.0.0 - news_summary,"Summarise the article:

{e1} |||
{e2}"
cnn_dailymail - 3.0.0 - spice_up_story,"What details would you include in a storyline to make it more engaging and informative?

{e1} |||
{e2}"
cnn_dailymail - 3.0.0 - sum_in_brief,Sum the following article in brief: {e1}|||{e2}
cnn_dailymail - 3.0.0 - tldr_summary,"Could you please generate a TLDR (Too Long Didn't Read) summary of the following news article?

Article: {e1} |||
{e2}"
cnn_dailymail - 3.0.0 - write_an_outline,"Can you write an outline of the following article in a few points?

Article: {e1}|||
{e2}"
gigaword - None - TLDR,"{e1}

TL;DR: ||| {e2}"
gigaword - None - first_sentence_title,"First sentence of the article: {e1}

Title: ||| {e2}"
gigaword - None - generate_summary_for_this,"{e1}

===

Generate a title for this article: ||| {e2}"
gigaword - None - in_a_nutshell,"{e1} In a nutshell, ||| {e2}"
gigaword - None - make_a_title,"Make a title for this article: {e1} |||

{e2}"
gigaword - None - reverse_writing,"Title: {e1}

||| {e2}"
gigaword - None - write_a_title_for_this_sentence,"Write a title for this sentence: {e1} 

Title: ||| {e2}"
gigaword - None - write_an_article,"Title: {e1}

===

Write an article with the given title: ||| {e2}"
gigaword - None - write_its_sentence,"{e1}

===

Given the above sentence, write its title: ||| {e2}"
multi_news - None - distill,"{e1}
I'm trying to distill these articles down into one:
{e2}

Article: {e3}
{e4}
|||
{e5}"
multi_news - None - expand (reverse task),"{e1}
Write an expanded news article with plausible details from the following summary:
{e2}
|||
{e3}"
multi_news - None - summarize,"{e1}
Write a summary of the following articles:
{e2}

Document: {e3}
{e4}
|||
{e5}"
multi_news - None - summary scenario,"{e1}
I want to edit the following articles into a more concise summary:
{e2}

Article: {e3}
{e4}
|||
{e5}"
multi_news - None - synthesize,"{e1}
Synthesize these documents into a single one:
{e2}

- {e3}
{e4}
|||
{e5}"
multi_news - None - what are the key points,"{e1}
What are the key points across these news articles:
{e2}

Article: {e3}
{e4}
|||
{e5}"
samsum - None - Generate a summary for this dialogue,"Generate a summary for this dialogue:
{e1}
|||{e2}"
